case_id,payload_kg,fin_scale,fin_thickness_m,fin_density_kg_m3,fin_shear_pa,wind_m_s,drag_factor,payload_station_m,apogee_agl_m,apogee_asl_m,apogee_time_s,max_speed_m_s,max_speed_time_s,max_airspeed_m_s,max_q_pa,max_q_time_s,rail_exit_s,rail_speed_m_s,min_flutter_ratio,flutter_time_s,flutter_altitude_asl_m,flutter_speed_at_min_m_s,airspeed_at_min_m_s,ratio_at_max_q,ratio_at_max_speed,required_thickness_mm,min_stability_cal,max_mach,loaded_aoa_deg,samples,admissible,reasons
case-001,0.0,0.85,0.003,2700.0,26000000000.0,0.0,1.0,0.45,3322.6160445792357,4722.616044579236,25.939965932480675,287.35418211258286,3.3766469296383437,287.35418211258286,41942.4770503043,3.34478248207319,0.36708088381591486,26.27458185524561,2.5901425871804475,3.34478248207319,1903.300379108399,744.1262429995378,287.2916134742881,2.5901425871804475,2.5907472403175995,1.8457752361514423,0.9027158909240134,0.8643659645503019,2.923453995468183,184,False,estabilidad estática
case-002,0.0,0.85,0.003,2700.0,26000000000.0,4.0,1.0,0.45,3309.700448504974,4709.700448504974,25.890182751294297,287.2289020695409,3.3785670417505447,287.4816725940336,41982.95044450732,3.3388686104542327,0.3670840336809596,26.274439979098435,2.588897479089267,3.3388686104542327,1900.8407517593525,744.0355618876072,287.3947569949147,2.588897479089267,2.589566906265909,1.8463669952620758,0.9028539604310126,0.8647468456535639,5.657997694761829,184,False,estabilidad estática
case-003,0.0,1.0,0.003,2700.0,26000000000.0,0.0,1.0,0.45,3305.5403907247337,4705.540390724734,25.886614677472316,285.9621032913281,3.3793015490530234,285.9621032913281,41546.136897179545,3.338389558250503,0.36780275535093154,26.20877564137744,2.039458600414864,3.338389558250503,1898.8655821752864,583.0148038528313,285.8674374337558,2.039458600414864,2.0399588001353397,2.1646349561451,2.2764127794320466,0.8601583046921654,1.7977270490765564,184,True,
case-004,0.0,1.0,0.003,2700.0,26000000000.0,4.0,1.0,0.45,3287.3407593022266,4687.340759302227,25.80743135264617,285.81938695623927,3.38424192510707,286.12173868369285,41597.63263091492,3.341030841110831,0.3678030696300349,26.207934523315743,2.038196278869739,3.341030841110831,1898.492526695692,583.0040285447075,286.03919778913854,2.038196278869739,2.038845456946971,2.1655286166813177,2.2765241343870635,0.8606410876107958,5.593761291964105,184,True,
case-005,0.0,1.15,0.003,2700.0,26000000000.0,0.0,1.0,0.45,3286.1644144325674,4686.164414432567,25.831916290763758,284.34462154278896,3.3771370982449396,284.34462154278896,41088.5312644434,3.340979979621836,0.3686726224654797,26.12735300014559,1.6629290481289098,3.340979979621836,1896.6033205094577,472.6984172844903,284.2565158245085,1.6629290481289098,1.6632558038833831,2.4801547729262983,3.2433067387789354,0.8552542279431543,1.3365453367866047,184,True,
case-006,0.0,1.15,0.003,2700.0,26000000000.0,4.0,1.0,0.45,3263.894541262024,4663.894541262024,25.731647556623482,284.19272952189675,3.380214311269075,284.52922716278374,41147.003450359014,3.349149893992508,0.36867619565176185,26.127024992885577,1.6617431317035585,3.3442291486149243,1896.1120156912095,472.686912496694,284.45245446094464,1.6617462064422892,1.6621292393219138,2.4813346209607894,3.2433993488707094,0.8558034033680357,5.525549348619917,184,True,
case-007,3.0,0.85,0.003,2700.0,26000000000.0,0.0,1.0,0.45,2770.3775612650816,4170.377561265082,24.2949664264368,245.122092910216,3.4105763260370168,245.122092910216,30734.324197597547,3.373991417512846,0.3924810668553802,24.225371455608588,3.025912672639144,3.373991417512846,1834.3523235594669,741.5911512117959,245.08015644912652,3.025912672639144,3.0267288063781703,1.6640141049857207,1.6190741669122104,0.736702352464951,2.529153956650539,184,True,
case-008,3.0,0.85,0.003,2700.0,26000000000.0,4.0,1.0,0.45,2756.9374054474283,4156.937405447428,24.234782437835083,244.99247592460202,3.407782985868087,245.27996862296587,30776.111141121626,3.3705134749082575,0.392485725689028,24.225052114906674,3.0238607029414197,3.3705134749082575,1832.6810920218427,741.5298803574108,245.22620358672526,3.0238607029414197,3.024552070981399,1.664766811717351,1.6192124968691568,0.7371629457014235,6.457291975013947,184,True,
case-009,3.0,1.0,0.003,2700.0,26000000000.0,0.0,1.0,0.45,2754.172243652234,4154.172243652234,24.235306119941704,244.03427867931788,3.407107438695674,244.03427867931788,30467.799147462818,3.370024253967524,0.3931532170077955,24.173673859083195,2.381643907444368,3.370024253967524,1831.393031601461,581.0712520192432,243.9790642937734,2.381643907444368,2.382164115136773,1.9519860571331034,2.9947707882064414,0.7334069310927324,1.8418143921429857,184,True,
case-010,3.0,1.0,0.003,2700.0,26000000000.0,4.0,1.0,0.45,2735.999952890289,4135.999952890289,24.148012804975465,243.89295094260586,3.4141784783963103,244.22966043872802,30520.31600921655,3.374081117430809,0.39315873950784974,24.17346400606064,2.379594192198247,3.374081117430809,1831.2248532873582,581.0664210194313,244.1871907926652,2.379594192198247,2.3803206802967853,1.9531068200544401,2.9948836374161565,0.7340029764512939,6.413208549941035,184,True,
case-011,3.0,1.15,0.003,2700.0,26000000000.0,0.0,1.0,0.45,2735.6626635416014,4135.662663541601,24.170231991415648,242.76573533427654,3.4134685130985987,242.76573533427654,30158.820771200888,3.376636139190346,0.3939218389550857,24.102489071137022,1.9410808109799378,3.376636139190346,1830.6714572486724,471.1586159397254,242.73003641814637,1.9410808109799378,1.941648231701441,2.2371693078617594,3.9639302750429146,0.7295870583767564,1.2378577233450472,184,True,
